month,fao_food_index,fao_food_yoy,fao_cereals_index,fao_cereals_yoy,fao_oils_index,fao_oils_yoy,mad_eur,fx_yoy
2018-02-01,97.8,-0.3058103975535187,98.4,9.33333333333335,95.6,-11.456886172084847,11.347225,6.138255736024334
2018-03-01,98.8,2.7027027027026973,101.8,15.813424345847537,95.36,-6.1324933556452415,11.3252523809524,5.714011674408037
2018-04-01,98.4,3.5789473684210593,104.0,19.677790563866516,94.02,-3.648288583726178,11.303815,5.274397153065946
2018-05-01,98.5,1.2332990750256956,105.5,19.479048697621735,92.15,-9.62142016477049,11.1337863636364,2.382469067067583
2018-06-01,96.8,-1.0224948875255602,100.8,9.090909090909083,89.33,-8.351287575664312,11.0898904761905,1.3081118611511178
2018-07-01,95.0,-5.000000000000004,98.7,1.8575851393188847,86.9,-10.097248086074895,11.0570636363636,0.08536039118756111
2018-08-01,95.8,-3.427419354838712,103.5,12.134344528710738,84.43,-14.854780153287606,10.9417608695652,-1.8212538656392163
2018-09-01,94.0,-5.71715145436309,100.3,8.90336590662324,82.33,-20.706924780891846,10.958825,-1.7778321712947576
2018-10-01,93.2,-5.668016194331981,100.9,9.912854030501105,81.33,-20.792754187767827,10.8892826086957,-1.9401969383643025
2018-11-01,91.9,-6.983805668016185,99.6,8.143322475570036,76.59,-26.24939817043812,10.8052818181818,-2.706036726070704
2018-12-01,92.0,-4.564315352697101,101.1,9.41558441558441,76.84,-21.559820334830537,10.8503263157895,-2.805565115719888
2019-01-01,93.1,-3.7228541882109667,101.8,6.932773109243695,80.26,-18.310432569974544,10.8823772727273,-3.563185425495974
2019-02-01,93.8,-4.089979550102251,100.7,2.3373983739837456,81.78,-14.456066945606693,10.82576,-4.595528862783627
2019-03-01,93.0,-5.870445344129549,97.5,-4.223968565815317,78.41,-17.774748322147648,10.8639476190476,-4.07324045758709
2019-04-01,93.5,-4.979674796747968,94.6,-9.03846153846154,79.11,-15.858328015315893,10.827345,-4.215125601400949
2019-05-01,94.2,-4.365482233502538,94.4,-10.521327014218008,78.5,-14.812805208898538,10.8222545454545,-2.79807612618993
2019-06-01,95.4,-1.4462809917355268,99.2,-1.5873015873015817,77.46,-13.28780924661368,10.847505,-2.185643552665295
2019-07-01,95.1,0.10526315789474161,97.6,-1.1144883485309065,78.09,-10.138089758342927,10.7614565217391,-2.673468511588639
2019-08-01,93.8,-2.087682672233826,92.6,-10.531400966183579,82.59,-2.1793201468672363,10.6704,-2.480047524343154
2019-09-01,93.2,-0.8510638297872353,91.8,-8.47457627118644,83.89,1.8948135552046663,10.6644333333333,-2.686343350374698
2019-10-01,95.0,1.93133047210301,96.0,-4.856293359762143,84.11,3.4181728759375307,10.6739913043478,-1.9770935522968047
2019-11-01,98.2,6.855277475516863,95.6,-4.016064257028118,93.16,21.634678156417287,10.6660952380952,-1.2881346588516918
2019-12-01,100.8,9.565217391304337,97.4,-3.659742828882284,101.5,32.0926600728787,10.691095,-1.4675255946706822
2020-01-01,102.5,10.096670247046191,100.7,-1.080550098231825,108.73,35.472215300274115,10.6637818181818,-2.0087104964953806
2020-02-01,99.6,6.183368869936023,99.6,-1.0923535253227534,97.55,19.283443384690635,10.555905,-2.4927118280841376
2020-03-01,95.2,2.3655913978494647,98.0,0.512820512820511,85.42,8.940186200739708,10.7143636363636,-1.3768842406947535
2020-04-01,92.4,-1.17647058823529,99.6,5.285412262156441,81.18,2.6166097838452806,10.987085,1.4753385987054113
2020-05-01,91.2,-3.1847133757961776,98.0,3.813559322033888,77.77,-0.9299363057324928,10.74214,-0.7402759297336137
2020-06-01,93.1,-2.4109014675052554,97.3,-1.9153225806451624,86.61,11.812548412083657,10.8918409090909,0.40871987697539414
2020-07-01,93.8,-1.3669821240799185,97.3,-0.30737704918032405,93.2,19.349468561915728,10.9316826086957,1.5818127092064982
2020-08-01,95.7,2.025586353944564,99.2,7.127429805615559,98.7,19.505993461678163,10.9170095238095,2.3111553813305985
2020-09-01,97.9,5.04291845493563,104.3,13.616557734204804,104.6,24.687090237215404,10.8691954545455,1.9200468961832584
2020-10-01,101.3,6.631578947368411,112.1,16.770833333333336,106.45,26.560456545000587,10.8361363636364,1.5190668107679217
2020-11-01,105.5,7.433808553971488,114.8,20.083682008368207,121.9,30.85015027908975,10.834552238806006,1.5793689907168895
2020-12-01,108.5,7.638888888888884,116.4,19.507186858316228,131.2,29.261083743842352,10.832968113975612,1.3270213572661227
2021-01-01,113.5,10.73170731707318,125.0,24.13108242303872,138.87,27.72004046721237,10.831383989145218,1.5716954249537896
2021-02-01,116.5,16.967871485943785,126.1,26.606425702811244,147.46,51.16350589441314,10.829799864314824,2.5947075529272334
2021-03-01,119.1,25.10504201680672,123.9,26.428571428571423,159.3,86.49028330601733,10.828215739484431,1.0626119010411994
2021-04-01,122.1,32.14285714285712,126.2,26.706827309236946,162.19,99.79058881497905,10.826631614654035,-1.4603817604575298
2021-05-01,128.4,40.789473684210535,133.7,36.42857142857141,174.9,124.89391796322491,10.825047489823644,0.7717967725578534
2021-06-01,125.4,34.69387755102042,130.3,33.915724563206595,157.7,82.08059115575568,10.823463364993248,-0.6277868421726618
2021-07-01,124.4,32.622601279317706,126.3,29.804727646454275,155.5,66.84549356223175,10.821879240162854,-1.0044507553256476
2021-08-01,128.0,33.75130616509927,130.4,31.4516129032258,165.9,68.08510638297874,10.82029511533246,-0.8859056893383843
2021-09-01,129.1,31.86925434116443,132.8,27.325023969319282,168.6,61.18546845124284,10.818710990502066,-0.4644728697221212
2021-10-01,133.3,31.589338598223105,137.1,22.301516503122222,184.8,73.60263034288398,10.817126865671671,-0.1754268987286034
2021-11-01,135.4,28.341232227488167,141.4,23.17073170731707,184.6,51.43560295324035,10.81554274084128,-0.17545254797554088
2021-12-01,133.7,23.225806451612897,140.5,20.704467353951884,178.5,36.05182926829269,10.813958616010884,-0.175478204724
2022-01-01,135.7,19.559471365638757,140.6,12.480000000000002,185.9,33.86620580398934,10.81237449118049,-0.17550386897721149
2022-02-01,141.7,21.630901287553627,145.3,15.226011102299776,201.7,36.78285636782854,10.810790366350096,-0.1755295407384727
2022-03-01,160.2,34.50881612090679,170.1,37.28813559322033,251.8,58.06654111738858,10.809206241519702,-0.17555522001111434
2022-04-01,158.8,30.057330057330066,169.7,34.46909667194929,237.5,46.43319563474937,10.807622116689307,-0.17558090679836713
2022-05-01,158.7,23.598130841121478,173.5,29.76813762154078,229.2,31.046312178387648,10.806037991858917,-0.17560660110358395
2022-06-01,155.7,24.162679425837297,166.3,27.62854950115119,211.8,34.30564362714015,10.80445386702852,-0.17563230293005105
2022-07-01,141.6,13.826366559485525,147.3,16.62707838479811,168.8,8.553054662379434,10.802869742198126,-0.1756580122810658
2022-08-01,138.7,8.359374999999991,145.6,11.65644171779141,163.3,-1.5672091621458661,10.801285617367732,-0.1756837291599478
2022-09-01,137.3,6.351665375677773,147.9,11.370481927710841,152.6,-9.489916963226575,10.799701492537338,-0.17570945356999434
2022-10-01,136.7,2.550637659414834,152.3,11.086797957695115,151.3,-18.127705627705627,10.798117367706944,-0.17573518551450285
2022-11-01,136.0,0.4431314623338123,150.1,6.152758132956149,154.7,-16.19718309859155,10.79653324287655,-0.17576092499683726
2022-12-01,133.1,-0.4487658937920691,147.3,4.839857651245549,144.6,-18.991596638655462,10.794949118046157,-0.17578667202020615
2023-01-01,131.4,-3.1687546057479588,147.5,4.907539118065429,140.4,-24.47552447552448,10.793364993215762,-0.17581242658801788
2023-02-01,130.7,-7.762879322512351,146.7,0.9635237439779676,135.9,-32.62270699058006,10.791780868385368,-0.17583818870354762
2023-03-01,128.0,-20.099875156054924,138.6,-18.518518518518523,131.8,-47.656870532168384,10.790196743554974,-0.17586395837012603
2023-04-01,128.4,-19.143576826196472,136.1,-19.799646434885087,130.0,-45.263157894736835,10.78861261872458,-0.17588973559108378
2023-05-01,124.5,-21.550094517958406,129.3,-25.47550432276656,118.7,-48.211169284467715,10.787028493894184,-0.17591552036976266
2023-06-01,123.0,-21.001926782273593,126.6,-23.872519542994596,115.8,-45.3257790368272,10.785444369063791,-0.1759413127093823
