month,behavioral_index_pure,score_lexical_norm,besi_v2a_fixed,besi_v2b_lasso,besi_v2c_nlp_only
2021-03-01,0.5672225154687388,0.8019480519480519,0.6376401764125327,0.5672225154687388,0.8019480519480519
2021-04-01,0.6040010508857475,0.7023809523809523,0.6335150213343089,0.6040010508857475,0.7023809523809523
2021-05-01,0.5925994455844383,0.3653846153846153,0.5244349965244914,0.5925994455844383,0.3653846153846153
2021-06-01,0.5770937461959035,0.3829365079365078,0.5188465747180847,0.5770937461959035,0.3829365079365078
2021-07-01,0.5527342490212824,0.4815668202764977,0.5313840203978469,0.5527342490212824,0.4815668202764977
2021-08-01,0.4933317192838289,0.5,0.49533220349868023,0.4933317192838289,0.5
2021-09-01,0.4479269645536333,0.7936507936507936,0.5516441132827814,0.4479269645536333,0.7936507936507936
2021-10-01,0.3653272776163398,0.5869191049913941,0.4318048258288561,0.3653272776163398,0.5869191049913941
2021-11-01,0.3447358958764133,0.2792207792207792,0.32508136087972306,0.3447358958764133,0.2792207792207792
2021-12-01,0.4516756798809181,0.1796536796536796,0.37006907981274656,0.4516756798809181,0.1796536796536796
2022-01-01,0.7358516315191895,0.0583501006036217,0.5326011722445192,0.7358516315191895,0.0583501006036217
