sim_id,aic_mc,delta_aic
163,105.37758263057073,1.8528022569770286
164,104.09484636679821,0.5700659932045085
165,103.72017678204736,0.1953964084536608
166,105.33626420089507,1.8114838273013731
167,105.06443957861735,1.5396592050236535
168,105.08130004266991,1.5565196690762093
169,105.08563210019256,1.5608517265988553
170,105.16475927922468,1.6399789056309828
171,105.34780195985518,1.8230215862614756
172,105.51432117190974,1.9895407983160425
173,104.06272204359045,0.537941669996755
174,104.864984641855,1.340204268261303
175,88.48064560409833,-15.044134769495372
176,105.31546855857286,1.7906881849791603
177,105.3563889395166,1.831608565922906
178,105.52393638193541,1.9991560083417141
179,105.47179925729061,1.947018883696913
180,104.05299765220633,0.5282172786126296
181,102.190013580713,-1.3347667928806999
182,105.1419880816389,1.6172077080451999
183,99.97062084112466,-3.5541595324690434
184,103.31437129279593,-0.2104090807977741
185,105.26401433689836,1.739233963304656
186,104.96859026981512,1.443809896221424
187,105.52442085760735,1.9996404840136535
188,105.05958960828681,1.534809234693114
189,104.18765015437147,0.6628697807777684
190,102.83039453168858,-0.6943858419051168
191,104.87898502325498,1.354204649661284
192,103.8751721506031,0.35039177700940627
193,102.82021313579335,-0.7045672378003474
194,96.85031694518084,-6.674463428412864
195,102.89841397530866,-0.6263663982850431
196,105.46162929729437,1.9368489237006656
197,99.96773345783589,-3.557046915757809
198,105.51958473453175,1.9948043609380477
199,104.32881192080735,0.8040315472136541
200,104.43848440543458,0.9137040318408793
201,105.45650341217167,1.931723038577971
202,102.9906638433816,-0.5341165302121027
203,105.50580452694578,1.981024153352081
204,103.7423792442656,0.21759887067190675
205,104.63608552309707,1.111305149503366
206,105.44262795785525,1.9178475842615512
207,105.18996088845464,1.6651805148609355
208,105.52464499088768,1.99986461729398
209,102.76467623020142,-0.760104143392283
210,103.6796925003802,0.15491212678649902
211,104.76051640956969,1.2357360359759895
212,105.52050651198923,1.9957261383955256
213,104.34050076547268,0.8157203918789833
214,105.08098883378278,1.556208460189083
215,103.82127380669145,0.29649343309775134
216,104.83799104252724,1.3132106689335359
217,105.38636303466252,1.861582661068823
218,99.57247099782415,-3.952309375769545
219,105.37930383804316,1.854523464449457
220,103.15494419557108,-0.3698361780226236
221,103.2758111399092,-0.2489692336845053
222,103.82493152348053,0.30015114988682967
223,105.16846013032794,1.6436797567342438
224,105.42009090271988,1.8953105291261778
225,104.74734358822445,1.2225632146307532
226,105.44652579459279,1.9217454209990876
227,105.50616403352687,1.9813836599331722
228,102.44620273613906,-1.078577637454643
229,105.39607207201207,1.871291698418375
230,98.62033290037854,-4.904447473215157
231,105.0837660331429,1.5589856595491938
232,103.90170253875313,0.3769221651594279
233,103.4481406375178,-0.07663973607590435
234,95.23305895652302,-8.291721417070676
235,104.55627557099115,1.0314951973974473
236,105.40804268006663,1.883262306472929
237,104.98620315064854,1.4614227770548354
238,99.89667170635356,-3.6281086672401415
239,105.42871061323733,1.9039302396436284
240,104.03171984799815,0.5069394744044473
241,102.42256922915064,-1.1022111444430607
242,100.88059784810599,-2.6441825254877074
243,105.4170142851232,1.8922339115295017
244,101.53477039592256,-1.9900099776711357
245,104.06612715485265,0.5413467812589516
246,105.03234987199994,1.5075694984062409
247,104.02191637740552,0.4971360038118178
248,105.39162297675459,1.8668426031608902
249,102.78760981162169,-0.7371705619720075
250,105.39473200134404,1.8699516277503392
251,103.96955989465076,0.44477952105705754
252,105.51011851254981,1.9853381389561093
253,102.55379418373703,-0.9709861898566743
254,105.3522041887354,1.8274238151416995
255,105.32274087545287,1.7979605018591656
256,105.40255167320792,1.8777712996142242
257,105.37606778695216,1.8512874133584631
258,104.9340060394944,1.4092256659007063
259,105.41300355192782,1.8882231783341155
260,98.86365582858878,-4.661124545004924
261,104.64879567338409,1.1240152997903863
262,104.7857875200639,1.261007146470206
263,103.55121909113133,0.02643871753762994
264,104.13088556121019,0.6061051876164925
265,104.82604972070904,1.301269347115337
266,105.27820566333463,1.7534252897409317
267,105.06987801734981,1.5450976437561081
268,101.13542477754896,-2.3893555960447372
269,104.89233491682864,1.3675545432349452
270,100.26533971564291,-3.2594406579507904
271,104.82363260125092,1.2988522276572212
272,103.74823171541392,0.22345134182022264
273,105.52477868833004,1.9999983147363452
274,104.44103339001771,0.9162530164240081
275,104.42626759255478,0.9014872189610799
276,101.68050758478446,-1.844272788809235
277,104.70942572453913,1.1846453509454307
278,100.11764031851455,-3.4071400550791537
279,101.47650926130954,-2.048271112284155
280,99.3252850468443,-4.1994953267494
281,105.39861491489245,1.8738345412987485
282,95.40127502078926,-8.123505352804443
283,105.21168247781799,1.6869021042242878
284,105.30857479801543,1.7837944244217283
285,105.52161128895173,1.9968309153580321
286,99.62537909191514,-3.899401281678564
287,102.33426939276586,-1.1905109808278382
288,103.97205447244613,0.4472740988524322
289,105.51269127002344,1.9879108964297387
290,103.7297778690934,0.20499749549969692
291,104.05885612646944,0.5340757528757365
292,104.90528322266185,1.3805028490681508
293,105.31409641500024,1.7893160414065363
294,105.51013384576603,1.985353472172335
295,102.00529751172368,-1.5194828618700171
296,97.51606476141802,-6.008715612175678
297,104.86370841097957,1.3389280373858696
298,105.52257587024991,1.9977954966562095
299,105.13794732012957,1.6131669465358698
300,102.88547440594866,-0.6393059676450434
301,105.45616406120206,1.9313836876083599
302,105.05332504674446,1.528544673150762
303,103.95163161507779,0.42685124148408704
304,103.38926508807893,-0.13551528551477077
305,97.12101414027696,-6.403766233316745
306,104.76185319876438,1.237072825170685
307,104.52819998302476,1.003419609431063
308,104.52154313858136,0.9967627649876647
309,105.15542521620496,1.630644842611261
310,105.24548755117479,1.7207071775810903
311,104.94146381458648,1.4166834409927844
312,105.36717436881412,1.8423939952204194
313,105.46435167009551,1.9395712965018106
314,105.45434604362964,1.9295656700359416
315,105.52408662123653,1.999306247642835
316,103.81188033638823,0.2870999627945281
317,104.92872193959647,1.4039415660027714
318,104.8085354101167,1.2837550365230044
319,104.63318610301307,1.108405729419374
320,104.61344206590675,1.0886616923130532
321,105.52099197601636,1.9962116024226617
322,105.4849971981231,1.9602168245293967
323,104.58416050628927,1.0593801326955656
324,91.54812796418018,-11.976652409413518
325,103.93024456659873,0.4054641930050309
326,105.21221754102729,1.6874371674335862
327,105.0117019542918,1.4869215806980947
328,101.69324455973255,-1.8315358138611515
329,104.35706209267329,0.8322817190795888
330,105.43964764703829,1.9148672734445853
331,103.57034704260955,0.045566669015855155
332,105.47468857919795,1.9499082056042454
333,104.58588548683582,1.061105113242121
334,104.96046423796936,1.4356838643756618
335,102.5909380620688,-0.9338423115248986
336,105.41929221295746,1.8945118393637586
337,105.43599770954329,1.911217335949587
338,104.32074231589453,0.7959619423008348
339,99.60018286242443,-3.9245975111692672
340,105.43008788645982,1.9053075128661163
341,105.4678197111404,1.9430393375466934
342,102.99004990972028,-0.5347304638734158
343,105.42436315630044,1.8995827827067444
344,105.44076067276188,1.915980299168183
345,105.52376252749114,1.998982153897444
346,105.4392302511224,1.9144498775286962
347,94.37093472059888,-9.153845652994818
348,104.06718734851,0.5424069749163039
349,103.02588700092103,-0.49889337267266853
350,105.45866780661842,1.9338874330247222
351,103.7801629038643,0.25538253027059454
352,105.46378376486471,1.9390033912710152
353,105.45029910567479,1.9255187320810876
354,105.26719693531437,1.742416561720674
355,105.41579827935797,1.8910179057642722
356,105.47482984759685,1.9500494740031513
357,104.1199413526242,0.5951609790304957
358,101.41610050994872,-2.10867986364498
359,104.41237073413039,0.8875903605366915
360,104.6512967544284,1.1265163808347012
361,105.18911163078621,1.664331257192515
362,105.17513411186181,1.6503537382681088
363,105.4115463726538,1.8867659990601027
364,105.12674359142522,1.6019632178315248
365,100.63175129139414,-2.8930290821995612
366,105.38504069356108,1.8602603199673808
367,104.58920902285067,1.0644286492569677
368,100.56540725673594,-2.959373116857762
369,102.92082575828971,-0.6039546153039907
370,104.93565460636773,1.4108742327740345
371,104.19349814087767,0.6687177672839653
372,101.81397838435574,-1.7108019892379644
373,104.79055181834688,1.2657714447531845
374,105.51512502886489,1.990344655271187
