look_back,lstm_units_1,lstm_units_2,dropout,learning_rate,batch_size,rmse,mae,mape,epochs_run,train_time_s
6,128,32,0.1,0.0005,32,0.01129387583874389,0.00986167603159372,0.8137840000053708,67,16.3
6,128,32,0.2,0.0005,32,0.011315203854222116,0.009972374677343318,0.821877054370017,57,14.2
6,128,64,0.3,0.001,8,0.01133018179631582,0.009481183001097718,0.7713981614202879,32,13.8
6,64,64,0.3,0.001,32,0.011336155908543068,0.010091086365643827,0.8307454558228381,49,12.1
6,32,64,0.1,0.001,8,0.011349172170618213,0.009952861810837797,0.8252339357550261,42,17.2
6,128,16,0.1,0.0005,16,0.011400807677823813,0.010224937769312393,0.847149531061989,41,13.0
6,32,32,0.1,0.0005,16,0.011453368961847106,0.009891952357634355,0.8174239720206499,72,25.6
12,128,64,0.2,0.001,8,0.011454459189800708,0.010466588307774824,0.862920019398138,15,9.1
6,64,64,0.1,0.0005,32,0.011485217117219294,0.00987309169811538,0.8179559095559014,57,13.5
6,32,64,0.1,0.0005,32,0.011570777605308582,0.010057375914517478,0.8315893676257642,100,26.7
6,128,64,0.3,0.001,16,0.011576125037557238,0.010667710038411042,0.8770510159031661,30,11.2
6,128,32,0.2,0.001,32,0.011657730414494609,0.009604721627111155,0.8002715038155173,39,12.5
6,64,64,0.3,0.0005,32,0.01172379087159145,0.010095633103697956,0.8361504672810459,63,17.4
18,32,32,0.2,0.001,8,0.011794336271269943,0.010804838787767841,0.8969863688183404,48,24.5
6,32,64,0.3,0.001,16,0.011846770963640995,0.009794161578305989,0.8036915027099418,35,15.1
12,64,16,0.2,0.001,8,0.011965840639918063,0.010861374479977197,0.9024986515804089,35,13.6
12,32,64,0.3,0.0005,8,0.012049155275692015,0.00938356393895198,0.7863447805421496,63,21.3
6,128,64,0.2,0.001,16,0.012132321208677011,0.011108664169548366,0.9121834010337594,27,10.3
18,128,16,0.1,0.001,8,0.012265849462426235,0.009685016631214972,0.8099998140657767,28,17.5
12,128,32,0.1,0.001,8,0.012320646500146866,0.011143071163073202,0.9207881607344099,15,8.7
6,128,32,0.2,0.0005,16,0.012344149734094102,0.01121995132957935,0.921708906054893,43,13.6
6,64,16,0.1,0.0005,16,0.01241541762382205,0.01113967783774564,0.9183804481819399,69,20.7
6,128,32,0.3,0.0005,8,0.012535587813995785,0.011172460069000682,0.9263807810239725,24,10.9
6,128,16,0.2,0.0005,8,0.012638512157327558,0.012326743002714925,1.016167936689931,55,19.4
6,128,64,0.3,0.001,32,0.012712957490607206,0.011640066059810272,0.9556556095773472,41,11.7
6,128,16,0.2,0.001,16,0.012746659206357801,0.01190118754484922,0.9848957362067519,36,12.5
6,32,32,0.1,0.001,32,0.012992537189068334,0.011282261918606935,0.934676529496397,56,18.7
6,128,32,0.1,0.0005,8,0.013056483677975197,0.011453160410747806,0.9356703939178453,29,12.4
6,32,64,0.2,0.0005,32,0.013060286598338246,0.011630565147570474,0.9561305460971739,75,20.3
6,128,32,0.2,0.001,16,0.013090986810922921,0.012160220901516718,1.0082814289939936,34,13.4
6,64,16,0.1,0.001,16,0.01325819458082274,0.012717999473346361,1.0483349768267523,39,15.4
6,32,64,0.3,0.001,8,0.013277052092905509,0.011136991632195984,0.9079201149430626,42,17.7
6,32,64,0.1,0.0005,8,0.01356149028201898,0.011573710523481285,0.9473526532457609,54,19.2
6,128,64,0.1,0.001,32,0.013663933008905163,0.012322643549683024,1.0104816876060811,31,9.8
6,32,32,0.1,0.001,16,0.013669101115154483,0.012300516698354766,1.0170003146900772,48,18.8
6,128,64,0.2,0.001,8,0.013746403461950711,0.012108214622353779,0.9888105158178968,23,10.8
12,128,32,0.1,0.001,16,0.013923945067652712,0.011967022389932382,0.9964609981197159,55,18.3
6,128,32,0.1,0.0005,16,0.013927561029301642,0.012276400787816241,1.003742274227948,51,15.6
18,128,16,0.1,0.0005,8,0.013967980094369706,0.011979978756625813,0.9961936776342175,55,29.7
12,64,64,0.2,0.001,16,0.014174084993399116,0.011813054619587253,0.9840627315191702,21,8.0
6,64,64,0.2,0.0005,32,0.014176314899691008,0.012519731175732407,1.0248904489807011,62,14.3
6,32,32,0.1,0.001,8,0.014196723165466395,0.013948533330219467,1.1472852019373794,46,22.5
24,64,32,0.3,0.001,8,0.0143470519932322,0.01223259019103652,1.0188647127375725,30,16.4
6,64,16,0.2,0.0005,8,0.014405589795613119,0.013373704296544423,1.1036190822969758,44,17.1
6,32,32,0.2,0.001,16,0.01446715234967174,0.01332380078215308,1.0987493199620921,45,18.6
6,32,32,0.2,0.001,32,0.014494125449271901,0.012975093979141107,1.0715280772852704,54,19.3
6,64,64,0.2,0.001,8,0.01463857696174801,0.012238879047334549,0.9962272446389584,33,12.7
6,64,64,0.1,0.001,32,0.014736092745874127,0.01283874520826761,1.050011310631554,48,14.6
18,32,64,0.1,0.001,8,0.014777817020828247,0.01175133571140222,0.9842913545876366,36,18.0
6,64,64,0.3,0.001,8,0.014961185821395627,0.01256650662739964,1.0235168346071357,21,9.5
6,128,64,0.3,0.0005,32,0.0151044050513096,0.013467001115554279,1.1022861018259473,64,15.7
6,64,32,0.3,0.001,16,0.015121790097832578,0.014573938680549051,1.2024536785062871,38,12.3
6,64,64,0.1,0.001,8,0.015139630385972599,0.012602561051328811,1.0258059646786908,28,11.9
6,128,16,0.3,0.0005,16,0.015157447580485782,0.014228079601642511,1.1759152733098392,44,13.8
12,64,64,0.2,0.0005,8,0.015257783945745642,0.013491888680652826,1.1194836307610598,22,15.7
24,128,64,0.3,0.001,8,0.01530549183087652,0.012569244035189973,1.0504307512697457,33,21.8
6,32,64,0.2,0.0005,8,0.015305963242613383,0.012811477221784131,1.0441596521045653,32,14.2
6,128,16,0.2,0.0005,32,0.015345184189801919,0.014053865127902096,1.1622484140352645,68,16.3
6,128,64,0.2,0.0005,16,0.015475049035902015,0.013730935541620224,1.1218614924131267,44,14.0
6,32,64,0.2,0.001,32,0.015526588976325272,0.013777767446362258,1.1400616720828864,47,14.1
12,128,64,0.2,0.001,16,0.015548070748014814,0.012892062381751699,1.0766606125066343,17,8.4
6,64,64,0.1,0.0005,8,0.015636651684858373,0.013479708107631284,1.099599190495403,50,18.3
12,32,64,0.1,0.001,8,0.015701855651147453,0.014228976826751734,1.1694393082245311,38,13.7
18,128,64,0.3,0.001,8,0.01571257244330435,0.014011306993293258,1.1537789663039089,15,12.8
12,128,16,0.1,0.0005,16,0.015745364984363065,0.012992228466342293,1.0859023595223543,84,22.9
6,128,64,0.3,0.0005,8,0.015808766864565553,0.013642649956505591,1.1133232091940344,25,11.5
6,128,16,0.1,0.001,8,0.01582874062763509,0.015560784501987168,1.2814693342544625,23,11.2
12,128,32,0.2,0.001,16,0.015928000218722666,0.014128181151955256,1.1722391029469421,49,15.5
6,128,64,0.2,0.0005,32,0.01596799488594525,0.014127428538497792,1.1556338502415573,63,17.1
18,64,32,0.1,0.0005,16,0.016046710185515803,0.012704619292254811,1.0638503677478623,100,31.3
6,32,64,0.3,0.0005,16,0.01604980943455572,0.013783566383922561,1.1263644595035296,65,20.5
6,64,64,0.3,0.0005,8,0.01606097668263676,0.013796061856410845,1.126321499367543,32,12.3
12,128,64,0.1,0.001,16,0.016084773368306014,0.013075366113210671,1.0932682342778028,18,9.4
18,64,32,0.1,0.0005,8,0.01611771116088556,0.012434201177010681,1.0430312835942306,60,25.9
12,64,64,0.1,0.001,32,0.016379255644237038,0.013081715677599729,1.094712926786819,26,9.8
6,128,16,0.1,0.001,32,0.016409446663367813,0.01588062950433514,1.3112216930406537,34,10.5
6,128,64,0.2,0.001,32,0.016424581718348402,0.014364363527778375,1.17225441729344,35,14.0
12,64,64,0.2,0.0005,32,0.016437748978515854,0.013473809014419377,1.1257336047849085,34,11.3
6,32,64,0.2,0.0005,16,0.016524880073106294,0.013783372224173251,1.1254402450944982,57,18.3
24,64,64,0.3,0.001,8,0.016716855282554472,0.01379159170077752,1.151835817928983,41,27.3
6,32,16,0.1,0.0005,16,0.01690521992316373,0.015834083863414426,1.3013496687197892,76,25.3
12,64,32,0.1,0.0005,8,0.016965047652919795,0.015541184237599833,1.290687798450751,64,20.1
6,64,32,0.2,0.0005,8,0.01698644368916689,0.015992923507051178,1.3185613825105773,33,11.1
18,128,16,0.2,0.001,16,0.0171160959749755,0.01320608846263496,1.1082565151360257,47,18.6
12,128,64,0.1,0.001,8,0.017176351586791934,0.015365091030437879,1.2571335165332276,15,8.7
6,128,16,0.3,0.0005,32,0.017224164033166404,0.016317819719934228,1.3446537823475138,66,15.9
24,64,32,0.2,0.001,8,0.017327886677104287,0.014149150869322799,1.1827939928847186,39,21.8
6,128,64,0.3,0.0005,16,0.0173619034116701,0.014980217210609695,1.221787134482543,47,14.5
6,64,32,0.1,0.0005,8,0.01739517587040087,0.014357873664343304,1.167826750360837,43,11.6
12,128,64,0.2,0.001,32,0.017508159462306307,0.01442211195907906,1.2046791864675923,20,9.2
