month,inflation_yoy,P_crise_ms_pure,P_stable_ms_pure,P_crise_ms_besi,P_stable_ms_besi
2020-03-01,3.34008097165992,1.0,1.2102997862605158e-26,0.9999999999998977,1.0169368790916255e-13
2020-04-01,2.9000000000000137,1.0,1.44572092507845e-26,0.9999999999999992,5.303653712045397e-16
2020-05-01,0.0978473581213279,1.0,1.779119579069135e-29,0.9999999999914633,8.536481696234259e-12
2020-06-01,-1.754385964912275,1.0,2.1570477548050865e-32,0.9999999997798101,2.2018970527256945e-10
2020-07-01,-1.0967098703888234,1.0,8.386831795553315e-30,0.9999999997937696,2.0623011838888206e-10
2020-08-01,1.383399209486158,1.0,2.8525174378186662e-27,0.9999999999991191,8.805651464071275e-13
2020-09-01,2.894211576846306,1.0,7.361740356475583e-27,0.9999999995718368,4.2816286420158986e-10
2020-10-01,2.683896620278325,1.0,1.0495715742777716e-26,0.9999999579620159,4.203798372937344e-08
2020-11-01,-0.0986193293885717,1.0,3.0246542525357823e-30,0.9999994415981172,5.584018825335399e-07
2020-12-01,-1.6748768472906406,1.0,2.845269701942013e-33,0.9999992277165383,7.722834614649094e-07
2021-01-01,-0.9920634920634884,1.0,1.0477393519012643e-30,0.9999999848422894,1.515771047982259e-08
2021-02-01,-0.994035785288272,1.0,6.335245643023376e-30,0.9999999999902354,9.764562483836089e-12
2021-03-01,-2.0568070519098813,1.0,1.938351680806578e-29,0.9999999987921145,1.207885176584033e-09
2021-04-01,0.0971817298347943,1.0,4.070608400012617e-26,0.9999999999988586,1.1411159052147368e-12
2021-05-01,1.2707722385141729,1.0,1.186731695646635e-25,0.9999999999999989,8.46147532351798e-16
2021-06-01,0.5952380952380931,1.0,1.6856783400384551e-25,0.9999999999766853,2.3314599175080907e-11
2021-07-01,2.7217741935483986,1.0,8.390759708568985e-23,0.9999999999999998,3.3647738805293205e-17
2021-08-01,-1.0721247563352798,1.0,3.1678749112178314e-34,0.9999995785704007,4.2142959904106787e-07
2021-09-01,-0.2909796314258028,1.0,1.2441669622745215e-35,0.9999999369160405,6.308395927663869e-08
2021-10-01,0.968054211035807,1.0,2.158465906277025e-34,0.9999999933507089,6.64929088733966e-09
2021-11-01,2.8627838104639647,1.0,8.565239386145325e-33,0.9999999934843474,6.51565232098588e-09
2021-12-01,4.509018036072154,1.0,6.686690945851608e-32,0.9999999922746178,7.725381951837803e-09
